household,source,interviewer
1,2,Jean
2,2,Josef
3,2,Leo
4,2,Albert
5,2,Michelle
6,2,Jean
7,2,Josef
8,2,Marzia
9,2,Leo
10,2,Albert
11,2,Michelle
12,2,Jean
13,3,Albert
14,3,Leo
15,3,Jean
16,3,Josef
17,3,Marzia
18,3,Michelle
19,3,Albert
20,3,Jean
21,3,Josef
22,3,Marzia
24,3,Michelle
25,3,Albert
26,3,Leo
27,3,Marzia
28,3,Albert
29,3,Michelle
30,3,Jean
31,4,Leo
32,4,Michelle
33,4,Jean
35,4,Josef
36,4,Marzia
37,4,Leo
38,4,Albert
39,4,Michelle
40,4,Jean
41,4,Josef
42,2,Josef
43,2,Marzia
44,2,Leo
45,2,Albert
46,2,Jean
47,2,Josef
48,2,Marzia
49,2,Albert
50,2,Marzia
51,2,Albert
52,2,Albert
53,3,Josef
54,3,Marzia
55,3,Leo
56,3,Albert
57,3,Michelle
58,3,Jean
59,3,Josef
60,3,Marzia
61,3,Leo
62,3,Albert
63,3,Jean
64,3,Josef
65,3,Marzia
66,3,Albert
67,4,Albert
68,3,Marzia
69,3,Albert
70,3,Albert
71,4,Marzia
72,4,Leo
73,4,Albert
75,4,Jean
76,4,Josef
77,4,Marzia
78,4,Albert
79,4,Marzia
80,4,Albert
